Word,Occurances,IsName
"Russia,WorldCup,AsianCup,ChampionsLeague,Euro2020",2,false
"WorldCupFinal,WorldCup,FRACROA",7,false
"BRACRO,WorldCup",2,false
MickJagger,2,false
"CROENG,ENGCRO,WorldCup,ItsComingHome,ThreeLions,NowPlaying",2,false
"EnglandvCroatia,Worldcup,WorldCupRussia2018",2,false
"France,WorldCup,gîte,nature,naturephotography",2,false
"BeProud,FlamingPride,CRODEN,WorldCup,Vatreni",3,false
"WorldCup,charitytuesday,Goal,nonprofit,development",2,false
"Football,WorldCup,FrancevsCroatia",2,false
"Sampaoli,ARG,WorldCup",16,false
"FRACRO,FRA,CRO,WorldCupFinal,Worldcup,LukaModric",2,false
"WorldCup,WorldCup,MysticDC",2,false
"ManoftheMatch,KORGER,WorldCup",6,false
"LaGrandeOpera,CRODEN,WorldCup",3,false
"dimaria,Aguero,WorldCup",2,false
"MEX,KOR,GER,WorldCup",2,false
"football,FRAARG,FRA,ARG,WorldCup,Pavard,Messi,Griezmann,Mbappe,SayNoToRacism,respect",2,false
"WorldCup,WorldCupRussia,Russia,England,ItsComingHome",2,false
"cro,ENG,IVCMundial2018,Rusia2018,WorldCup",2,false
"Spain,VisitSpain,SummerInSpain,MundialRusia2018",2,false
"FIFAWC2018,GuessThePlayer",2,false
"WorldCup,onedownsixtogo",2,false
"REDTOGETHER,scooore,WK2018,WorldCup",3,false
"EnglandVsCroatia,WorldCup",4,false
"WorldCupFinal,FRACRO,WorldCup,WorldCupFinal,Russia",2,false
"WorldCup,beINSPORTS",2,false
"WorldCup,CRODEN,penaltyshootout",3,false
"african,france,ArgentinavsFrance,ARGvFRA,FRAARG,FRAvARG,FRAvsARG,argfra,WorldCup,WorldCup2018,Russia2018,RussiaWorldCup2018,FifaWorldCup2018",2,false
"WorldCup2018,francevsbelgium,FRABEL,WorldCup,FRA,KylianMbappe,MoussaDembele,Griezmann,France,final",2,false
"Faith,Jesus",2,false
"eNGCRO,WorldCup",2,false
